"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2021","8.8804","8.8747","8.9455","8.8609","","0.14%"
"10/05/2021","8.8678","8.8586","8.9355","8.8440","","-0.07%"
"10/05/2021","8.8738","8.8503","8.8954","8.8330","","0.17%"
"10/04/2021","8.8586","8.8599","8.8904","8.8295","","0.02%"
"10/04/2021","8.8571","8.8562","8.8868","8.8200","","0.08%"
"10/03/2021","8.8501","8.8472","8.8831","8.8165","","-0.12%"
"10/01/2021","8.8609","8.8829","8.9094","8.8092","","0.06%"
"09/30/2021","8.8552","8.8785","8.9037","8.8090","","-0.40%"
"09/30/2021","8.8912","8.9142","8.9390","8.8445","","0.13%"
"09/29/2021","8.8798","8.9062","8.9343","8.8410","","-0.49%"
"09/29/2021","8.9238","8.8845","8.9685","8.8258","","0.17%"
"09/28/2021","8.9086","8.8638","8.9557","8.8165","","0.36%"
"09/28/2021","8.8765","8.8250","8.9035","8.8138","","0.14%"
"09/27/2021","8.8640","8.8164","8.8938","8.8045","","0.47%"
"09/27/2021","8.8224","8.8805","8.9027","8.8048","","0.07%"
"09/26/2021","8.8161","8.8593","8.8935","8.7985","","-0.76%"
"09/24/2021","8.8836","8.7667","8.8968","8.7350","","0.06%"
"09/23/2021","8.8786","8.7678","8.8918","8.7528","","1.26%"
"09/23/2021","8.7679","8.6497","8.8056","8.6107","","0.14%"
"09/22/2021","8.7559","8.6399","8.8014","8.6095","","1.14%"
"09/22/2021","8.6570","8.6344","8.6770","8.5899","","0.20%"
"09/21/2021","8.6401","8.6219","8.6712","8.5865","","0.15%"
"09/21/2021","8.6274","8.6670","8.6809","8.5724","","0.05%"
"09/20/2021","8.6230","8.6589","8.6739","8.5965","","-0.56%"
"09/20/2021","8.6717","8.6524","8.7360","8.6313","","0.15%"
"09/19/2021","8.6591","8.6522","8.7274","8.6245","","0.17%"
"09/17/2021","8.6440","8.5377","8.6725","8.4916","","0.23%"
"09/16/2021","8.6238","8.5242","8.6536","8.5035","","1.08%"
"09/16/2021","8.5313","8.4339","8.5485","8.4123","","0.08%"
"09/15/2021","8.5243","8.4203","8.5449","8.4115","","1.05%"
"09/15/2021","8.4354","8.4391","8.4673","8.4052","","0.17%"
"09/14/2021","8.4211","8.4242","8.4600","8.3985","","-0.25%"
"09/14/2021","8.4425","8.4367","8.4806","8.4029","","0.22%"
"09/13/2021","8.4243","8.4267","8.4695","8.3960","","-0.04%"
"09/13/2021","8.4275","8.4724","8.4855","8.4035","","0.03%"
"09/12/2021","8.4253","8.4553","8.5222","8.4075","","-0.52%"
